id,treatment,barrierDistance,treeCover,shrubCover,herbHeight,conf.low,conf.high,targetClass,nontargetClass,targetOrder,nontargetOrder,targetAlliance,nontargetAlliance,targetAssociation,nontargetAssociation,speciesRichness,floodRichness,chwetRichness,cwmAbuN,cwmAbuF,fdisAbuLHS,fdisAbuLdmc,cwmAbuLdmc,fdisAbuSeedmass,cwmAbuSeedmass,fdisAbuHeight,cwmAbuHeight
IN1,behind_dam,205,18.75,8.75,80,1,1,13.25,0,12.75,0,1,0,0.5,9.25,23,4,5,5.78,8.16,0.87,0.74,277.77,0.237,1.333,0.216,0.668
IN2,behind_dam,239,37.5,18.75,70,2,2,6.5,0,6,0,0.5,0,0.5,2,27,4,7,5.768,8.32,0.911,0.776,279.711,0.258,1.157,0.164,0.732
IN3,behind_dam,273,37.5,18.75,50,3,3,19,0,15.5,0,3,0,2,19.75,32,4,4,5.01,5.949,1.209,0.817,282.822,0.338,1.925,0.66,0.393
IN4,behind_dam,353,37.5,18.75,60,4,4,8.5,0,7,0,1.5,0,0.5,10.25,26,3,4,5.732,7.903,0.755,0.547,290.562,0.299,1.355,0.291,0.745
IN5,behind_dam,387,87.5,18.75,40,5,5,56.75,0,54.75,0,4.5,0.5,0.5,39.5,25,1,4,6.955,5.889,0.706,0.402,232.48,0.202,1.961,0.431,0.348
IN6,behind_dam,421,37.5,18.75,40,6,6,56.25,0,53.75,0,3.5,0,0.5,39.5,37,2,9,6.797,6.793,0.956,0.713,265.13,0.265,2.075,0.367,0.478
AC1,no_dam,205,87.5,62.5,40,7,7,27.25,0,23.75,0,4,8.75,1,9.25,36,4,6,5.573,5.324,1.246,0.781,284.08,0.471,2.315,0.564,0.405
AC2,no_dam,239,62.5,37.5,40,8,8,38.5,0,35,0,3,1,0.5,21.25,29,3,3,6.376,5.671,1.115,0.729,259.928,0.372,2.081,0.489,0.368
AC3,no_dam,273,87.5,18.75,40,9,9,35.25,0,31.25,0.5,1.5,4,0.5,19.75,38,4,7,6.668,6.046,1.039,0.752,275.416,0.386,1.936,0.334,0.416
AC4,no_dam,380,62.5,18.75,40,10,10,16,1,13.5,0,4.5,2,0.5,23.25,39,3,7,6.872,6.327,1.073,0.745,288.586,0.432,1.972,0.332,0.576
AC5,no_dam,414,62.5,18.75,50,11,11,8.5,0,7,0,2,0.5,0,10.75,24,1,4,7.026,6.19,1.05,0.793,322.914,0.443,2.072,0.203,0.513
AC6,no_dam,448,62.5,37.5,50,12,12,28.75,0,26.75,0,2,4,1,9.75,29,3,3,6.893,6.098,1.023,0.72,271.977,0.338,2.066,0.365,0.441
