id,Floodplain,lon,lat
IN1,Inactive,10.956539454893534,47.77381293731027
IN2,Inactive,10.95587390325957,47.773734935261885
IN3,Inactive,10.95570300524177,47.77360746425045
IN4,Inactive,10.954896843541086,47.77322237924061
IN5,Inactive,10.954624096255433,47.77285113962644
IN6,Inactive,10.954252930958425,47.77273083724956
AC1,Active,10.962254199823155,47.77426945519677
AC2,Active,10.962535948118159,47.774191054282234
AC3,Active,10.963121833714172,47.77425031023109
AC4,Active,10.964231728259985,47.77412541517341
AC5,Active,10.96465717892622,47.774201204276075
AC6,Active,10.96506893418612,47.77429485651414
